,imageFile,deployYear,imageSerialNumber,imageAssetID,imageSerialNumber Match,imageAssetID Match
0,CAMHDA301_20190615_213950_predeploy (1).jpg,2019,,ATAPL-70150-00006,No,Exact
1,CAMHDA301_20190616_184455_recovered.jpg,2019,,,No,No
2,CTDPFA302_20230824_164049_predeploy.JPG,2023,16-50122,ATAPL-66662-00010,Partial Start,Exact
3,CTDPFA302_20230824_164057_predeploy (1).JPG,2023,16-50122,,Exact,No
4,CTDPFB301_20190617_082029_recovered.jpg,2019,,ATAPL67627-00003,No,Partial Start
5,CTDPFB301_20230913_085400_recovered.JPG,2023,273 -50031,ATAPL-58320-00003 ATAPL-67627-00003,Partial Start,Exact
6,DOSTAD301_20190616_200745_predeploy.jpg,2019,474,ATAPL-58320 00013,Poor,Spaced
7,DOSTAD301_20190617_082131_recovered.jpg,2019,,58320-00003,No,Partial End
8,OPTAAC303_20190616_200434_predeploy.jpg,2019,155,ATAPL66943-004,Poor,Exact
9,PC03A_20190615_084423_predeploy.jpg,2019,PO059,ATAPL-58337-00001,Partial Start,Partial Start
10,PC03A_20190615_084525_predeploy.jpg,2019,16-50123,ATAPL-66662-0001,Exact,Exact Num Replace
11,PC03A_20190615_084710_predeploy.jpg,2019,1294,ATAPL-58322-00012,Partial Start,Exact
12,Screen Shot 2020-01-23 at 1.07.36 PM.png,UNKNOWN,16-50119,67627-00004,Exact,Partial End
13,Screen Shot 2020-01-28 at 10.56.14 AM.png,UNKNOWN,,ATAPL-78438 000,No,Spaced
